dateofrecord,country_code,country_name,dailydeceased,totaldeceased,dailyconfirmed,dailyrecovered,totalconfirmed,totalrecovered
2020-12-01,IN,India,501,137569,36474,43208,9499652,8931636
2020-12-02,IN,India,526,138095,35506,40908,9535158,8972544
2020-12-03,IN,India,541,138636,36574,42991,9571732,9015535
2020-12-04,IN,India,511,139147,36711,42359,9608443,9057894
2020-12-05,IN,India,482,139629,36010,41885,9644453,9099779
2020-12-06,IN,India,390,140019,33178,39078,9677631,9138857
2020-12-07,IN,India,386,140405,26227,39293,9703858,9178150
2020-12-08,IN,India,402,140807,32083,36583,9735941,9214733
2020-12-09,IN,India,413,141220,31637,37693,9767578,9252426
2020-12-10,IN,India,411,141631,29411,37707,9796989,9290133
2020-12-11,IN,India,442,142073,29961,33492,9826950,9323625
2020-12-12,IN,India,391,142464,30354,33087,9857304,9356712
2020-12-13,IN,India,338,142802,27336,30640,9884640,9387352
2020-12-14,IN,India,354,143156,21941,34421,9906581,9421773
2020-12-15,IN,India,384,143540,26251,33853,9932832,9455626
2020-12-16,IN,India,356,143896,18172,33360,9951004,9488986
2020-12-17,IN,India,342,144238,26754,30891,9977758,9519877
2020-12-18,IN,India,342,144580,26991,29879,10004749,9549756
2020-12-19,IN,India,342,144922,26834,29758,10031583,9579514
2020-12-20,IN,India,332,145254,24622,25734,10056205,9605248
2020-12-21,IN,India,302,145556,19147,30250,10075352,9635498
2020-12-22,IN,India,329,145885,23880,27032,10099232,9662530
2020-12-23,IN,India,315,146200,24716,29946,10123948,9692476
2020-12-24,IN,India,337,146537,23444,24555,10147392,9717031
2020-12-25,IN,India,251,146788,22349,22184,10169741,9739215
2020-12-26,IN,India,280,147068,18575,21466,10188316,9760681
2020-12-27,IN,India,281,147349,20333,21097,10208649,9781778
2020-12-28,IN,India,250,147599,16072,24822,10224721,9806600
2020-12-29,IN,India,285,147884,20542,26589,10245263,9833189
2020-12-30,IN,India,299,148183,21945,26407,10267208,9859596
2020-12-31,IN,India,244,148427,19026,21969,10286234,9881565
2021-01-01,IN,India,237,148664,20159,23838,10306393,9905403
2021-01-02,IN,India,216,148880,18144,20903,10324537,9926306
2021-01-03,IN,India,215,149095,16678,19658,10341215,9945964
2021-01-04,IN,India,200,149295,16278,29209,10357493,9975173
2021-01-05,IN,India,265,149560,17909,21161,10375402,9996334
2021-01-06,IN,India,222,149782,20472,19689,10395874,10016023
2021-01-07,IN,India,233,150015,18123,20503,10413997,10036526
2021-01-08,IN,India,229,150244,18453,19242,10432450,10055768
2021-01-09,IN,India,213,150457,18820,19460,10451270,10075228
2021-01-10,IN,India,150,150607,16086,16737,10467356,10091965
2021-01-11,IN,India,166,150773,12481,18578,10479837,10110543
2021-01-12,IN,India,200,150973,15903,17762,10495740,10128305
2021-01-13,IN,India,201,151174,17015,17797,10512755,10146102
2021-01-14,IN,India,189,151363,15677,15943,10528432,10162045
2021-01-15,IN,India,176,151539,15155,16809,10543587,10178854
2021-01-16,IN,India,181,151720,15050,17202,10558637,10196056
2021-01-17,IN,India,145,151865,13962,14513,10572599,10210569
2021-01-18,IN,India,137,152002,9987,17127,10582586,10227696
2021-01-19,IN,India,162,152164,13787,17229,10596373,10244925
2021-01-20,IN,India,152,152316,15279,20071,10611652,10264996
2021-01-21,IN,India,161,152477,14495,17734,10626147,10282730
2021-01-22,IN,India,153,152630,14323,17166,10640470,10299896
2021-01-23,IN,India,156,152786,14896,16033,10655366,10315929
2021-01-24,IN,India,131,152917,13232,13148,10668598,10329077
2021-01-25,IN,India,116,153033,9098,16092,10677696,10345169
2021-01-26,IN,India,138,153171,12733,13250,10690429,10358419
2021-01-27,IN,India,123,153294,11556,14261,10701985,10372680
2021-01-28,IN,India,162,153456,18912,20315,10720897,10392995
2021-01-29,IN,India,137,153593,13054,14886,10733951,10407881
2021-01-30,IN,India,128,153721,13073,14077,10747024,10421958
2021-01-31,IN,India,116,153837,11527,11882,10758551,10433840
2021-02-01,IN,India,94,153931,8579,13443,10767130,10447283
2021-02-02,IN,India,113,154044,11001,14250,10778131,10461533
2021-02-03,IN,India,107,154151,12925,17813,10791056,10479346
2021-02-04,IN,India,120,154271,12401,15788,10803457,10495134
2021-02-05,IN,India,95,154366,11711,14512,10815168,10509646
2021-02-06,IN,India,75,154441,12069,11761,10827237,10521407
2021-02-07,IN,India,86,154527,11786,11756,10839023,10533163
2021-02-08,IN,India,78,154605,8715,13600,10847738,10546763
2021-02-09,IN,India,94,154699,10731,12928,10858469,10559691
2021-02-10,IN,India,110,154809,12539,11796,10871008,10571487
2021-02-11,IN,India,85,154894,9353,15722,10880361,10587209
2021-02-12,IN,India,104,154998,12137,11358,10892498,10598567
2021-02-13,IN,India,89,155087,12198,11107,10904696,10609674
2021-02-14,IN,India,91,155178,11706,9500,10916402,10619174
2021-02-15,IN,India,82,155260,9086,11793,10925488,10630967
2021-02-16,IN,India,99,155359,11592,11836,10937080,10642803
2021-02-17,IN,India,100,155459,12862,12028,10949942,10654831
2021-02-18,IN,India,100,155559,13237,10914,10963179,10665745
2021-02-19,IN,India,100,155659,13916,10214,10977095,10675959
2021-02-20,IN,India,89,155748,13919,11413,10991014,10687372
2021-02-21,IN,India,83,155831,14278,9715,11005292,10697087
2021-02-22,IN,India,76,155907,10494,13233,11015786,10710320
2021-02-23,IN,India,103,156010,13682,13969,11029468,10724289
2021-02-24,IN,India,141,156151,16930,12100,11046398,10736389
2021-02-25,IN,India,119,156270,16599,12222,11062997,10748611
2021-02-26,IN,India,114,156384,16562,12790,11079559,10761401
2021-02-27,IN,India,111,156495,16805,11709,11096364,10773110
2021-02-28,IN,India,108,156603,15614,11291,11111978,10784401
2021-03-01,IN,India,92,156695,12270,12472,11124248,10796873
2021-03-02,IN,India,98,156793,14998,13113,11139246,10809986
2021-03-03,IN,India,87,156880,17425,14071,11156671,10824057
2021-03-04,IN,India,113,156993,16824,13788,11173495,10837845
2021-03-05,IN,India,109,157102,18324,14186,11191819,10852031
2021-03-06,IN,India,100,157202,18724,14379,11210543,10866410
2021-03-07,IN,India,97,157299,18650,14303,11229193,10880713
2021-03-08,IN,India,76,157375,15353,16606,11244546,10897319
2021-03-09,IN,India,133,157508,17873,20643,11262419,10917962
2021-03-10,IN,India,125,157633,22851,18154,11285270,10936116
2021-03-11,IN,India,119,157752,23298,15092,11308568,10951208
2021-03-12,IN,India,140,157892,24845,19972,11333413,10971180
2021-03-13,IN,India,159,158051,25154,16508,11358567,10987688
2021-03-14,IN,India,120,158171,26513,17590,11385080,11005278
2021-03-15,IN,India,130,158301,24437,20186,11409517,11025464
2021-03-16,IN,India,187,158488,28869,17746,11438386,11043210
2021-03-17,IN,India,171,158659,35838,17793,11474224,11061003
2021-03-18,IN,India,156,158815,39687,20356,11513911,11081359
2021-03-19,IN,India,188,159003,40906,23623,11554817,11104982
2021-03-20,IN,India,196,159199,43815,22971,11598632,11127953
2021-03-21,IN,India,213,159412,47009,21205,11645641,11149158
2021-03-22,IN,India,197,159609,40636,29779,11686277,11178937
2021-03-23,IN,India,277,159886,47239,23913,11733516,11202850
2021-03-24,IN,India,249,160135,53419,26575,11786935,11229425
2021-03-25,IN,India,257,160392,59083,32917,11846018,11262342
2021-03-26,IN,India,292,160684,62276,30341,11908294,11292683
2021-03-27,IN,India,311,160995,62632,28728,11970926,11321411
2021-03-28,IN,India,295,161290,68206,32269,12039132,11353680
2021-03-29,IN,India,266,161556,56152,36989,12095284,11390669
2021-03-30,IN,India,355,161911,53237,41242,12148521,11431911
2021-03-31,IN,India,458,162369,72113,40423,12220634,11472334
2021-04-01,IN,India,468,162837,81398,50381,12302032,11522715
2021-04-02,IN,India,713,163550,89023,44179,12391055,11566894
2021-04-03,IN,India,514,164064,92994,60059,12484049,11626953
2020-12-01,CN,China,0,4743,91,34,92993,87051
2020-12-02,CN,China,1,4744,120,50,93113,87101
2020-12-03,CN,China,1,4745,108,46,93221,87147
2020-12-04,CN,China,1,4746,127,57,93348,87204
2020-12-05,CN,China,0,4746,119,55,93467,87259
2020-12-06,CN,China,0,4746,110,72,93577,87331
2020-12-07,CN,China,0,4746,93,73,93670,87404
2020-12-08,CN,China,0,4746,112,79,93782,87483
2020-12-09,CN,China,2,4748,116,99,93898,87582
2020-12-10,CN,China,0,4748,127,125,94025,87707
2020-12-11,CN,China,0,4748,99,108,94124,87815
2020-12-12,CN,China,1,4749,93,129,94217,87944
2020-12-13,CN,China,2,4751,111,97,94328,88041
2020-12-14,CN,China,3,4754,99,81,94427,88122
2020-12-15,CN,China,3,4757,110,89,94537,88211
2020-12-16,CN,China,0,4757,89,115,94626,88326
2020-12-17,CN,China,2,4759,108,103,94734,88429
2020-12-18,CN,China,4,4763,87,109,94821,88538
2020-12-19,CN,China,0,4763,132,128,94953,88666
2020-12-20,CN,China,1,4764,97,115,95050,88781
2020-12-21,CN,China,1,4765,100,80,95150,88861
2020-12-22,CN,China,1,4766,78,102,95228,88963
2020-12-23,CN,China,1,4767,70,141,95298,89104
2020-12-24,CN,China,2,4769,85,101,95383,89205
2020-12-25,CN,China,1,4770,77,125,95460,89330
2020-12-26,CN,China,0,4770,81,93,95541,89423
2020-12-27,CN,China,1,4771,91,95,95632,89518
2020-12-28,CN,China,4,4775,88,68,95720,89586
2020-12-29,CN,China,2,4777,77,111,95797,89697
2020-12-30,CN,China,4,4781,79,116,95876,89813
2020-12-31,CN,China,1,4782,87,110,95963,89923
2021-01-01,CN,China,0,4782,60,108,96023,90031
2021-01-02,CN,China,2,4784,63,68,96086,90099
2021-01-03,CN,China,0,4784,74,60,96160,90159
2021-01-04,CN,China,3,4787,86,54,96246,90213
2021-01-05,CN,China,0,4787,64,93,96310,90306
2021-01-06,CN,China,1,4788,88,94,96398,90400
2021-01-07,CN,China,0,4788,86,78,96484,90478
2021-01-08,CN,China,1,4789,78,65,96562,90543
2021-01-09,CN,China,2,4791,128,87,96690,90630
2021-01-10,CN,China,1,4792,134,67,96824,90697
2021-01-11,CN,China,1,4793,96,75,96920,90772
2021-01-12,CN,China,1,4794,175,85,97095,90857
2021-01-13,CN,China,2,4796,180,96,97275,90953
2021-01-14,CN,China,0,4796,173,73,97448,91026
2021-01-15,CN,China,0,4796,168,74,97616,91100
2021-01-16,CN,China,1,4797,159,58,97775,91158
2021-01-17,CN,China,0,4797,164,47,97939,91205
2021-01-18,CN,China,1,4798,225,58,98164,91263
2021-01-19,CN,China,2,4800,159,59,98323,91322
2021-01-20,CN,China,1,4801,221,60,98544,91382
2021-01-21,CN,China,2,4803,242,0,98786,91382
2021-01-22,CN,China,0,4803,100,144,98886,91526
2021-01-23,CN,China,0,4803,161,83,99047,91609
2021-01-24,CN,China,1,4804,200,100,99247,91709
2021-01-25,CN,China,3,4807,155,66,99402,91775
2021-01-26,CN,China,2,4809,139,145,99541,91920
2021-01-27,CN,China,2,4811,114,156,99655,92076
2021-01-28,CN,China,2,4813,91,147,99746,92223
2021-01-29,CN,China,1,4814,102,98,99848,92321
2021-01-30,CN,China,1,4815,120,301,99968,92622
2021-01-31,CN,China,2,4817,95,157,100063,92779
2021-02-01,CN,China,1,4818,64,112,100127,92891
2021-02-02,CN,China,2,4820,50,169,100177,93060
2021-02-03,CN,China,1,4821,49,220,100226,93280
2021-02-04,CN,China,1,4822,42,179,100268,93459
2021-02-05,CN,China,0,4822,50,147,100318,93606
2021-02-06,CN,China,0,4822,30,146,100348,93752
2021-02-07,CN,China,0,4822,41,131,100389,93883
2021-02-08,CN,China,0,4822,46,106,100435,93989
